place_id,DEFICIENCY_HIGH,DEFICIENCY_MEDIUM_HIGH,DEFICIENCY_MEDIUM,DEFICIENCY_MEDIUM_LOW,DEFICIENCY_LOW,TOTAL_INSPECTIONS,TOTAL_ASSESSMENTS,TOTAL_CAPACITY,ISSUANCE_DATE,PROGRAMS_PROVIDED,ACCEPTS_CHILD_CARE_SUBSIDIES,CORRECTIVE_ACTION,ADVERSE_ACTION,TEMPORARILY_CLOSED,OPERATION_ID,OPERATION_NAME,CITY,ADDRESS_LINE,ZIPCODE,google_name,google_rating,google_review_count,review_count_returned,match_confidence,YEARS_IN_OPERATION,IS_ACCREDITED,ACCEPTS_SUBSIDIES,HAS_CORRECTIVE_ACTION,HAS_ADVERSE_ACTION,WAS_TEMP_CLOSED,TOTAL_DEFICIENCIES,DEFICIENCY_RATE,HIGH_DEFICIENCY_RATE
ChIJ--Sbfoa0RIYRMsKN2gq4dhI,6,8,4,1,4,14,3,75,2014-02-19,"School Age Care,Meals Provided ,Field Trips",N,NO,NO,NO,1124172,"Child, Inc. American Youth Works",AUSTIN,1911 E BEN WHITE BLVD,78741 7853,American YouthWorks,4.6,81.0,5,medium_confidence,11.9,0,0,0,0,0,23,1.643,0.429
ChIJ--dcWCTLQIYR3JXHfeHHOwc,0,5,1,0,0,5,0,70,2025-10-02,"School Age Care,Before School Care,Meals Provided ,After School Care,Snacks Provided,Drop-In Care,Part Time Care,Transportation to/from School ,Field Trips",N,NO,NO,NO,1509739,"Tiny Scholars Academy, LLC",HOUSTON,14504 NORTH FWY,77090 6808,Tiny Scholars Academy,4.7,14.0,5,high_confidence,0.2,0,0,0,0,0,6,1.2,0.0
ChIJ-0ZtcGiLXIYRJORd0gSotaM,10,25,13,1,1,30,0,106,2016-07-01,"School Age Care,Meals Provided ,After School Care,Snacks Provided,Part Time Care,Transportation to/from School ,Field Trips",N,NO,NO,NO,1186978,The Little Engine Learning Center,SAN ANTONIO,4122 AVENIDA PRIMA ST,78233 6819,The Little Engine Learning Center,4.2,25.0,5,high_confidence,9.5,0,0,0,0,0,50,1.667,0.333
ChIJ-4eNPHCfToYRkxevVmr-27Y,0,5,1,0,0,13,0,180,2014-04-04,"School Age Care,Before School Care,After School Care,Skill Classes,Part Time Care",N,NO,NO,NO,1117938,Spanish World School - Skillman,DALLAS,4411 SKILLMAN ST,75206 5437,Spanish World School,5.0,11.0,5,medium_confidence,11.7,0,0,0,0,0,6,0.462,0.0
ChIJ-5hPjoC5QIYRJJONJNcITb0,3,18,0,0,0,63,3,200,2022-02-10,"School Age Care,After School Care,Snacks Provided,Skill Classes",N,NO,NO,NO,1383768,Kidventure After School at Travis Elementary,HOUSTON,3311 BEAUCHAMP ST,77009 6613,Kidventure After School at Travis Elementary,5.0,20.0,5,high_confidence,3.9,0,0,0,0,0,21,0.333,0.048
ChIJ-6Lp8t_NQIYRADCWmMDSbh4,13,25,17,0,0,14,0,94,2025-01-31,"School Age Care,Before School Care,Meals Provided ,After School Care,Snacks Provided,Transportation to/from School ,Field Trips,Night Care",Y,NO,NO,NO,1477354,Little Stars Childcare 2,HOUSTON,4507 FOUNTAINHEAD DR,77066 2632,Little Stars ChildCare 2,4.5,33.0,5,high_confidence,0.9,0,1,0,0,0,55,3.929,0.929
ChIJ-7OmHZLNQIYR6SQ5gSzjqug,0,0,8,0,0,7,0,239,1986-12-29,"Snacks Provided,Part Time Care",N,NO,NO,NO,95678,Bright Beginners Preschool and Infant Care,HOUSTON,14225 HARGRAVE RD,77070 3843,Bright Beginners Preschool and Infant Care,4.6,11.0,5,high_confidence,39.0,0,0,0,0,0,8,1.143,0.0
ChIJ-U1s6GuMXIYREbk3jnKEIPI,2,0,1,0,0,13,0,107,1986-12-03,"Before School Care,Accredited,Meals Provided ,After School Care,Snacks Provided,Transportation to/from School ,Field Trips",Y,NO,NO,NO,102161,La Petite Academy Judson,SAN ANTONIO,16345 JUDSON RD,78247 1378,La Petite Academy on Judson Road,3.6,37.0,5,high_confidence,39.1,1,1,0,0,0,3,0.231,0.154
ChIJ-WIGBn6kToYReZtzk9NX6uE,1,2,0,0,1,10,0,95,1998-10-16,"After School Care,Transportation to/from School ,Field Trips",Y,NO,NO,NO,155026,Play and Learn Christian Academy,DALLAS,9510 MILITARY PKWY,75227 4715,Play-N-Learn Christian Academy,4.1,57.0,5,medium_confidence,27.2,0,1,0,0,0,4,0.4,0.1
ChIJ-XplVXp1ToYRckXVWzxxcu4,0,6,2,2,0,7,2,150,2009-02-24,"After School Care,Snacks Provided,Part Time Care",Y,NO,NO,NO,364577,Parkview Elementary - Northwest YMCA,FORT WORTH,6225 CRYSTAL LAKE DR,76179 8701,Parkview Elementary School,,,0,medium_confidence,16.9,0,1,0,0,0,10,1.429,0.0
