OPERATION_ID,OPERATION_NAME,CITY,ADDRESS_LINE,ZIPCODE,DEFICIENCY_HIGH,DEFICIENCY_MEDIUM_HIGH,DEFICIENCY_MEDIUM,DEFICIENCY_MEDIUM_LOW,DEFICIENCY_LOW,TOTAL_DEFICIENCIES,DEFICIENCY_RATE,HIGH_DEFICIENCY_RATE,TOTAL_CAPACITY,TOTAL_INSPECTIONS,TOTAL_ASSESSMENTS,YEARS_IN_OPERATION,IS_ACCREDITED,ACCEPTS_SUBSIDIES,HAS_CORRECTIVE_ACTION,HAS_ADVERSE_ACTION,WAS_TEMP_CLOSED,place_id,google_name,google_rating,google_review_count,match_confidence
1124172,"Child, Inc. American Youth Works",AUSTIN,1911 E BEN WHITE BLVD,78741 7853,6,8,4,1,4,23,1.643,0.429,75,14,3,11.9,0,0,0,0,0,ChIJ--Sbfoa0RIYRMsKN2gq4dhI,American YouthWorks,4.6,81.0,medium_confidence
1509739,"Tiny Scholars Academy, LLC",HOUSTON,14504 NORTH FWY,77090 6808,0,5,1,0,0,6,1.2,0.0,70,5,0,0.2,0,0,0,0,0,ChIJ--dcWCTLQIYR3JXHfeHHOwc,Tiny Scholars Academy,4.7,14.0,high_confidence
1186978,The Little Engine Learning Center,SAN ANTONIO,4122 AVENIDA PRIMA ST,78233 6819,10,25,13,1,1,50,1.667,0.333,106,30,0,9.5,0,0,0,0,0,ChIJ-0ZtcGiLXIYRJORd0gSotaM,The Little Engine Learning Center,4.2,25.0,high_confidence
1117938,Spanish World School - Skillman,DALLAS,4411 SKILLMAN ST,75206 5437,0,5,1,0,0,6,0.462,0.0,180,13,0,11.7,0,0,0,0,0,ChIJ-4eNPHCfToYRkxevVmr-27Y,Spanish World School,5.0,11.0,medium_confidence
1383768,Kidventure After School at Travis Elementary,HOUSTON,3311 BEAUCHAMP ST,77009 6613,3,18,0,0,0,21,0.333,0.048,200,63,3,3.9,0,0,0,0,0,ChIJ-5hPjoC5QIYRJJONJNcITb0,Kidventure After School at Travis Elementary,5.0,20.0,high_confidence
1477354,Little Stars Childcare 2,HOUSTON,4507 FOUNTAINHEAD DR,77066 2632,13,25,17,0,0,55,3.929,0.929,94,14,0,0.9,0,1,0,0,0,ChIJ-6Lp8t_NQIYRADCWmMDSbh4,Little Stars ChildCare 2,4.5,33.0,high_confidence
95678,Bright Beginners Preschool and Infant Care,HOUSTON,14225 HARGRAVE RD,77070 3843,0,0,8,0,0,8,1.143,0.0,239,7,0,39.0,0,0,0,0,0,ChIJ-7OmHZLNQIYR6SQ5gSzjqug,Bright Beginners Preschool and Infant Care,4.6,11.0,high_confidence
102161,La Petite Academy Judson,SAN ANTONIO,16345 JUDSON RD,78247 1378,2,0,1,0,0,3,0.231,0.154,107,13,0,39.1,1,1,0,0,0,ChIJ-U1s6GuMXIYREbk3jnKEIPI,La Petite Academy on Judson Road,3.6,37.0,high_confidence
155026,Play and Learn Christian Academy,DALLAS,9510 MILITARY PKWY,75227 4715,1,2,0,0,1,4,0.4,0.1,95,10,0,27.2,0,1,0,0,0,ChIJ-WIGBn6kToYReZtzk9NX6uE,Play-N-Learn Christian Academy,4.1,57.0,medium_confidence
1480929,Little Oaks Early Learning Academy,HOUSTON,15700 SPACE CENTER BLVD,77062 4602,4,7,5,0,2,18,1.5,0.333,102,12,0,0.9,0,1,0,0,0,ChIJ-ZjstG-dQIYRgDSkTsWdxRs,Little Oaks Early Learning Academy - Clear Lake Campus,5.0,14.0,medium_confidence
1223198,San Antonio Cottage Child Dev. Center,SAN ANTONIO,706 DIVISION AVE,78225 2500,5,12,8,2,0,27,2.7,0.5,30,10,2,9.9,0,1,0,0,0,ChIJ-_DhB1lYXIYR8qb7Ys4Ee8A,San Antonio Cottage Child Development Center,4.0,2.0,high_confidence
1350388,Little Treehouse Early Learning Center #3,SAN ANTONIO,5310 INTERSTATE HIGHWAY 35 S,78211 1762,6,12,7,3,0,28,1.647,0.353,83,17,1,5.2,0,1,0,0,0,ChIJ-_DhB1lYXIYRXdLK4uqtkZ8,Little Treehouse Early Learning Center,3.8,13.0,high_confidence
1483871,EJ'S Kids Daycare and Learning Center LLC,SAN ANTONIO,1720 S WW WHITE RD,78220 4760,1,1,1,0,0,3,0.375,0.125,49,8,0,0.8,0,1,0,0,0,ChIJ-_Uth6b3XIYR3yZ1Mid9xKE,EJ'S Kids Daycare and Learning Center,5.0,13.0,high_confidence
1123855,Hope's Children Academy,HOUSTON,8500 COOK RD STE H,77072 3944,2,7,5,0,0,14,0.875,0.125,80,16,1,11.8,0,1,0,0,0,ChIJ-b90-XDdQIYRrGURpqQljk4,Hope's Children Academy,4.5,19.0,high_confidence
108792,Becker Early Childhood Center,HOUSTON,1500 SUNSET BLVD,77005 1845,6,3,1,0,0,10,0.833,0.5,242,12,0,35.2,1,1,0,0,0,ChIJ-bVih37AQIYRvWLZGuwXw6I,Becker School,5.0,10.0,medium_confidence
159058,Avance San Antonio CDC Frank Garrett,SAN ANTONIO,1226 NW 18TH ST,78207 1300,2,10,6,0,0,18,1.2,0.133,56,15,0,26.5,0,0,0,0,0,ChIJ-bhDuN5eXIYRr11fuv9vaL8,Frank Garrett Multi Service Center,4.3,82.0,medium_confidence
1471633,Montessori Kids Universe of Stone Oak,SAN ANTONIO,24170 US HIGHWAY 281 N,78258 7231,3,7,1,0,0,11,1.0,0.273,269,11,0,1.5,1,0,0,0,0,ChIJ-cbbFEqJXIYRmPFsxMAz3oc,Montessori Kids Universe Stone Oak,4.8,91.0,high_confidence
127224,Kids Plus Academy,HOUSTON,4506 LAURA KOPPE RD,77016 5035,4,13,11,2,1,31,3.1,0.4,60,10,2,32.7,0,1,0,0,0,ChIJ-fy3sJO5QIYR16XPuXkrYSg,Kids Plus Academy,4.2,6.0,high_confidence
1418104,Mama Bear Learning Center,SAN ANTONIO,3930 E SOUTHCROSS BLVD BLDG 2,78222 3520,4,4,2,1,0,11,0.846,0.308,78,13,1,2.8,0,1,0,0,0,ChIJ-w7ftCD3XIYRGgivw0VbB3E,Mama Bear Learning Center,4.7,17.0,high_confidence
1313726,Grace Academy,HOUSTON,15401 BELLAIRE BLVD,77083 3014,2,4,2,0,0,8,1.333,0.333,153,6,0,6.9,1,1,0,0,0,ChIJ-wFCQ27eQIYRfJIrJ3YQYZE,Grace Academy Bellaire Blvd,5.0,9.0,medium_confidence
1510235,Copernicus STEM Academy,AUSTIN,4503 N INTERSTATE 35,78722 1001,0,0,0,0,0,0,0.0,0.0,75,2,0,0.4,0,0,0,0,0,ChIJ-wJRbQnKRIYRw_IQyNdZpII,Copernicus STEM Academy,4.8,25.0,high_confidence
1520008,Revive Christian Academy,SAN ANTONIO,303 W RAMSEY RD,78216 3818,1,6,2,0,0,9,3.0,0.333,56,3,0,-0.0,0,0,0,0,0,ChIJ-waqCsyKXIYRfBkEDUbWuhI,Revive Ministries San Antonio Church,4.8,34.0,medium_confidence
1322266,"Gloria D. Lacson FC., INC., DBA., Sweet Angels Day Care",HOUSTON,11242 HARVEST BEND BLVD,77064 4128,1,7,0,0,0,8,1.6,0.2,107,5,0,5.9,0,1,0,0,0,ChIJ0-HR1TTRQIYRYUScV_MIMCw,"Gloria D. Lacson FC., Inc., DBA. Sweet Angels Day Care",4.4,7.0,high_confidence
1518159,Hillcrest Childrens Academy,AUSTIN,3838 STECK AVE,78759 8637,1,0,5,0,0,6,1.5,0.25,250,4,0,0.1,0,0,0,0,0,ChIJ0-XnnHHLRIYRztvfSamRCSE,Hillcrest Children's Academy,5.0,3.0,high_confidence
1407823,The Rosedale Preschool,AUSTIN,5615 ADAMS AVE,78756 1102,0,1,0,0,0,1,0.125,0.0,29,8,0,3.0,0,0,0,0,0,ChIJ0-ydIrDLRIYRu1qjMFMRI4g,The Rosedale Preschool,5.0,5.0,high_confidence
1321895,The Morris Foundation Child Development Center,FORT WORTH,2701 MORESBY ST,76105,4,0,0,0,0,4,0.308,0.308,58,13,0,6.6,0,1,0,0,0,ChIJ009M5j9wToYRVWdjU6p2ENw,The Morris Foundation Child Development Center,5.0,2.0,high_confidence
1525757,Childcare Network #261,FORT WORTH,3420 W RISINGER RD,76123 2338,0,0,0,0,0,0,0.0,0.0,218,1,0,0.0,0,0,0,0,0,ChIJ00S6Lz5sToYRDjJGh4GLEzQ,Childcare Network,4.2,96.0,high_confidence
1473753,East Ridge Academy,DALLAS,6310 EASTRIDGE DR,75231 7809,3,3,3,0,0,9,0.818,0.273,156,11,0,1.7,0,1,0,0,0,ChIJ01_UUiigToYRh1yJ4IFMPHI,Eastridge Academy,4.3,40.0,high_confidence
1513064,enCourage Preschools,SAN ANTONIO,5450 BABCOCK RD # B128,78240 3908,0,0,0,0,0,0,0.0,0.0,81,4,0,-0.0,0,0,0,0,0,ChIJ04bzn8ZnXIYR1GRd6wvuLXY,enCourage Preschools San Antonio,5.0,28.0,medium_confidence
1438841,Kids Connect of Houston,HOUSTON,8510 ALMEDA GENOA RD STE 404,77075 2252,3,17,5,0,0,25,1.786,0.214,112,14,0,2.3,0,1,0,0,0,ChIJ04drz5KXQIYRQ5axG5RDUz8,Kids Connect of Houston,4.8,36.0,high_confidence
163506,Childrens Center of Stone Oak,SAN ANTONIO,18858 STONE OAK PKWY,78258 4113,1,6,4,0,0,11,0.786,0.071,217,14,0,25.7,0,0,0,0,0,ChIJ04zVhANiXIYRalO6V4c-c0U,Children's Center of Stone Oak,4.6,41.0,high_confidence
